PLAYER_ID,PLAYER_NAME,TEAM_NAME,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,DRAFT_NUMBER,GP,MIN,PTS,REB,AST,STL,BLK,GAME_DATE,SALARY
1630173,Precious Achiuwa,Raptors,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,20,134,18.4,7.2,5.1,0.8,0.4,0.5,APR 23 2022,"$2,711,280"
203500,Steven Adams,Grizzlies,Center,6-11,265,New Zealand,1993-07-20T00:00:00,12,664,26.8,9.3,8.0,1.5,0.9,0.9,APR 23 2022,"$17,073,171"
1628389,Bam Adebayo,Heat,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,14,343,28.2,13.5,8.3,3.5,1.0,0.9,APR 24 2022,"$28,103,500"
200746,LaMarcus Aldridge,Nets,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,2,1076,33.7,19.1,8.1,1.9,0.7,1.1,APR 23 2022,"$2,641,691"
1629638,Nickeil Alexander-Walker,Jazz,Guard,6-5,205,Canada,1998-09-02T00:00:00,17,158,19.4,9.3,2.6,2.2,0.7,0.3,APR 23 2022,"$3,261,480"
1628960,Grayson Allen,Bucks,Guard,6-4,198,USA,1995-10-08T00:00:00,21,192,21.9,9.4,2.6,1.5,0.6,0.2,APR 24 2022,"$4,054,695"
1628386,Jarrett Allen,Cavaliers,Center,6-10,243,USA,1998-04-21T00:00:00,22,341,26.6,11.6,8.7,1.4,0.5,1.4,,"$20,000,000"
1630631,Jose Alvarado,Pelicans,Guard,6-0,179,USA,1998-04-12T00:00:00,Undrafted,54,15.4,6.1,1.9,2.8,1.3,0.1,APR 24 2022,"$1,925,406"
203937,Kyle Anderson,Grizzlies,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,30,505,21.0,6.7,4.4,2.3,1.0,0.6,APR 23 2022,"$9,937,150"
203507,Giannis Antetokounmpo,Bucks,Forward,6-11,242,Greece,1994-12-06T00:00:00,15,656,32.6,21.8,9.4,4.6,1.2,1.3,APR 24 2022,"$39,344,900"
203648,Thanasis Antetokounmpo,Bucks,Forward,6-6,219,Greece,1992-07-18T00:00:00,51,127,9.1,3.1,2.0,0.7,0.4,0.2,APR 24 2022,"$1,729,217"
2546,Carmelo Anthony,Lakers,Forward,6-7,238,USA,1984-05-29T00:00:00,3,1260,34.5,22.5,6.2,2.7,1.0,0.5,,"$2,641,691"
1630175,Cole Anthony,Magic,Guard,6-3,185,USA,2000-05-15T00:00:00,15,112,29.8,14.9,5.1,5.0,0.7,0.3,,"$3,449,400"
1628384,OG Anunoby,Raptors,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,23,301,26.8,10.4,4.1,1.4,1.1,0.5,APR 23 2022,"$16,071,429"
1627853,Ryan Arcidiacono,Bulls,Guard,6-3,195,USA,1994-03-26T00:00:00,Undrafted,217,17.2,4.6,2.0,2.1,0.5,0.0,,"$774,727"
1630166,Deni Avdija,Wizards,Forward,6-9,210,Israel,2001-01-03T00:00:00,9,136,23.8,7.6,5.1,1.7,0.7,0.4,,"$4,692,840"
1629028,Deandre Ayton,Suns,Center,6-11,250,Bahamas,1998-07-23T00:00:00,1,236,30.7,16.3,10.5,1.6,0.7,1.0,APR 24 2022,"$12,632,950"
1628962,Udoka Azubuike,Jazz,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,27,32,7.9,3.0,2.6,0.0,0.1,0.5,APR 23 2022,"$2,075,880"
1630163,LaMelo Ball,Hornets,Guard,6-7,180,USA,2001-08-22T00:00:00,3,126,30.9,18.3,6.4,7.0,1.6,0.4,,"$8,231,760"
1628366,Lonzo Ball,Bulls,Guard,6-6,190,USA,1997-10-27T00:00:00,2,252,32.5,11.9,5.7,6.2,1.6,0.6,APR 24 2022,"$18,604,651"
1628964,Mo Bamba,Magic,Center,7-0,231,USA,1998-05-12T00:00:00,6,226,18.6,7.7,6.1,0.9,0.4,1.4,,"$7,568,743"
1630217,Desmond Bane,Grizzlies,Guard,6-5,215,USA,1998-06-25T00:00:00,30,144,26.3,14.0,3.8,2.3,0.9,0.3,APR 23 2022,"$2,033,160"
1630625,Dalano Banton,Raptors,Forward,6-7,204,Canada,1999-11-07T00:00:00,46,64,10.9,3.2,1.9,1.5,0.4,0.2,APR 23 2022,"$925,258"
203084,Harrison Barnes,Kings,Forward,6-8,225,USA,1992-05-30T00:00:00,7,747,31.8,14.1,5.1,1.8,0.7,0.2,,"$20,284,091"
1630567,Scottie Barnes,Raptors,Forward,6-7,225,USA,2001-08-01T00:00:00,4,74,35.4,15.3,7.5,3.5,1.1,0.7,APR 23 2022,"$7,280,400"
1629628,RJ Barrett,Knicks,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,3,198,33.5,17.5,5.6,2.9,0.8,0.3,,"$8,623,920"
203115,Will Barton,Nuggets,Guard,6-5,181,USA,1991-01-06T00:00:00,40,623,25.9,11.6,4.3,2.7,0.8,0.4,APR 24 2022,"$15,625,000"
1629646,Charles Bassey,76ers,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,53,23,7.3,3.0,2.7,0.3,0.2,0.7,APR 23 2022,"$925,258"
1628966,Keita Bates-Diop,Spurs,Forward,6-8,229,USA,1996-01-23T00:00:00,48,163,15.0,5.2,3.0,0.6,0.5,0.3,,"$1,729,217"
201587,Nicolas Batum,Clippers,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,25,915,30.6,11.1,5.1,3.5,1.0,0.6,,"$12,026,998"
203145,Kent Bazemore,Lakers,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,Undrafted,657,20.6,8.2,3.2,1.8,1.0,0.5,,"$2,401,537"
1629647,Darius Bazley,Thunder,Forward,6-8,208,USA,2000-06-12T00:00:00,23,185,25.8,10.0,5.8,1.3,0.6,0.7,,"$2,513,040"
203078,Bradley Beal,Wizards,Guard,6-4,207,USA,1993-06-28T00:00:00,3,645,34.8,22.1,4.1,4.2,1.1,0.4,,"$33,724,200"
1627736,Malik Beasley,Timberwolves,Guard,6-4,187,USA,1996-11-26T00:00:00,19,336,20.9,10.4,2.5,1.2,0.6,0.1,APR 23 2022,"$14,491,964"
202722,Davis Bertans,Mavericks,Forward,6-10,225,Latvia,1992-11-12T00:00:00,42,387,19.1,8.2,2.7,1.0,0.4,0.4,APR 23 2022,"$16,000,000"
201976,Patrick Beverley,Timberwolves,Guard,6-1,180,USA,1988-07-12T00:00:00,42,526,27.4,8.8,4.3,3.5,1.1,0.5,APR 23 2022,"$14,320,987"
1630180,Saddiq Bey,Pistons,Forward,6-7,215,USA,1999-04-09T00:00:00,19,152,30.3,14.3,5.0,2.2,0.8,0.2,,"$2,824,320"
203920,Khem Birch,Raptors,Center,6-9,233,Canada,1992-09-28T00:00:00,Undrafted,262,17.8,5.2,4.6,1.0,0.5,0.6,APR 23 2022,"$6,350,000"
1629048,Goga Bitadze,Pacers,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,18,149,11.8,5.0,2.9,0.8,0.3,0.9,,"$3,098,400"
202687,Bismack Biyombo,Suns,Center,6-8,255,DRC,1992-08-28T00:00:00,7,738,19.9,5.2,6.1,0.6,0.3,1.3,APR 24 2022,"$1,518,213"
202357,Nemanja Bjelica,Warriors,Forward,6-9,234,Serbia,1988-05-09T00:00:00,35,449,20.4,7.6,4.6,1.8,0.6,0.4,APR 24 2022,"$2,089,448"
202339,Eric Bledsoe,Trail Blazers,Guard,6-1,214,USA,1989-12-09T00:00:00,18,756,27.8,13.7,3.9,4.7,1.4,0.5,,"$18,125,000"
1629833,Keljin Blevins,Trail Blazers,Guard,6-4,200,USA,1995-11-24T00:00:00,,48,8.8,2.2,1.1,0.5,0.3,0.0,,"$462,629"
203992,Bogdan Bogdanovic,Hawks,Guard,6-6,225,Serbia,1992-08-18T00:00:00,27,316,28.6,14.2,3.4,3.4,1.0,0.2,APR 24 2022,"$18,000,000"
202711,Bojan Bogdanovic,Jazz,Forward,6-7,226,Croatia,1989-04-18T00:00:00,31,603,29.1,15.0,3.6,1.6,0.6,0.1,APR 23 2022,"$18,700,000"
1629626,Bol Bol,Magic,Center-Forward,7-2,220,Sudan,1999-11-16T00:00:00,44,53,6.2,2.7,1.2,0.3,0.1,0.3,,"$2,161,152"
1630195,Leandro Bolmaro,Timberwolves,Forward,6-6,200,Argentina,2000-09-11T00:00:00,23,35,6.9,1.4,1.2,0.6,0.2,0.0,APR 23 2022,"$2,353,320"
1629067,Isaac Bonga,Raptors,Guard,6-8,180,Germany,1999-11-08T00:00:00,39,143,13.1,3.1,2.2,0.8,0.5,0.3,APR 23 2022,"$1,729,217"
1626164,Devin Booker,Suns,Guard,6-5,206,USA,1996-10-30T00:00:00,13,477,33.7,23.5,3.9,4.7,0.8,0.3,APR 24 2022,"$31,650,600"
1628449,Chris Boucher,Raptors,Forward-Center,6-9,200,Saint Lucia,1993-01-11T00:00:00,Undrafted,231,17.9,9.0,5.3,0.5,0.5,1.2,APR 23 2022,"$7,020,000"
1630547,James Bouknight,Hornets,Guard,6-4,190,USA,2000-09-18T00:00:00,11,31,9.8,4.6,1.7,0.8,0.2,0.0,,"$4,154,400"
202340,Avery Bradley,Lakers,Guard,6-3,180,USA,1990-11-26T00:00:00,19,660,27.5,11.0,2.8,1.7,1.0,0.2,,"$2,641,691"
1628396,Tony Bradley,Bulls,Center-Forward,6-10,248,USA,1998-01-08T00:00:00,28,167,11.7,4.6,4.3,0.5,0.2,0.6,APR 24 2022,"$1,789,256"
1629649,Ignas Brazdeikis,Magic,Forward,6-6,221,Canada,1999-01-08T00:00:00,47,64,13.1,5.0,1.9,0.9,0.2,0.1,,"$462,629"
1628969,Mikal Bridges,Suns,Forward,6-6,209,USA,1996-08-30T00:00:00,10,309,31.3,11.3,3.9,2.1,1.3,0.6,APR 24 2022,"$5,557,725"
1628970,Miles Bridges,Hornets,Forward,6-7,225,USA,1998-03-21T00:00:00,12,291,29.1,13.4,5.6,2.3,0.7,0.7,,"$5,421,493"
1629052,Oshae Brissett,Pacers,Forward-Guard,6-7,210,Canada,1998-06-20T00:00:00,Undrafted,107,20.7,8.2,4.7,0.9,0.6,0.5,,"$1,701,593"
1627763,Malcolm Brogdon,Pacers,Guard,6-5,229,USA,1992-12-11T00:00:00,36,333,30.2,15.5,4.2,4.8,0.9,0.2,,"$21,700,000"
1629717,Armoni Brooks,Raptors,Guard,6-3,195,USA,1998-06-05T00:00:00,,74,18.4,6.9,2.3,1.2,0.5,0.2,APR 23 2022,"$1,739,065"
1628415,Dillon Brooks,Grizzlies,Guard-Forward,6-7,225,Canada,1996-01-22T00:00:00,45,272,28.2,14.5,3.0,2.0,1.0,0.3,APR 23 2022,"$12,200,000"
1628971,Bruce Brown,Nets,Guard-Forward,6-4,202,USA,1996-08-15T00:00:00,42,269,23.5,7.6,4.3,2.1,0.9,0.5,APR 23 2022,"$4,736,102"
1627759,Jaylen Brown,Celtics,Guard-Forward,6-6,223,USA,1996-10-24T00:00:00,3,403,28.7,16.5,4.9,2.0,0.9,0.4,APR 23 2022,"$26,758,928"
1629650,Moses Brown,Cavaliers,Center,7-2,245,USA,1999-10-13T00:00:00,Undrafted,92,14.1,6.0,5.8,0.1,0.4,0.7,,"$1,933,909"
1628425,Sterling Brown,Mavericks,Guard-Forward,6-5,219,USA,1995-02-10T00:00:00,46,264,16.8,5.4,3.3,1.0,0.5,0.2,APR 23 2022,"$3,000,000"
1628973,Jalen Brunson,Mavericks,Guard,6-1,190,USA,1996-08-31T00:00:00,33,277,24.7,11.9,3.0,3.7,0.6,0.0,APR 23 2022,"$1,802,057"
1628418,Thomas Bryant,Wizards,Center-Forward,6-10,248,USA,1997-07-31T00:00:00,42,170,20.1,10.2,5.7,1.3,0.4,0.9,,"$8,666,667"
203493,Reggie Bullock,Mavericks,Guard-Forward,6-6,205,USA,1991-03-16T00:00:00,25,434,22.5,7.8,2.5,1.2,0.6,0.1,APR 23 2022,"$9,536,000"
203504,Trey Burke,Mavericks,Guard,6-0,185,USA,1992-11-12T00:00:00,9,498,20.9,9.6,1.8,3.1,0.6,0.1,APR 23 2022,"$3,150,000"
202692,Alec Burks,Knicks,Guard,6-6,214,USA,1991-07-20T00:00:00,12,625,23.0,10.6,3.5,2.0,0.7,0.2,,"$9,536,000"
1630215,Jared Butler,Jazz,Guard,6-3,193,USA,2000-08-25T00:00:00,40,42,8.6,3.8,1.1,1.5,0.4,0.2,APR 23 2022,"$925,258"
202710,Jimmy Butler,Heat,Forward,6-7,230,USA,1989-09-14T00:00:00,30,690,33.1,17.7,5.3,4.1,1.6,0.5,APR 24 2022,"$36,016,200"
1629719,Devontae Cacok,Spurs,Forward,6-7,240,USA,1996-10-08T00:00:00,Undrafted,36,6.3,2.5,2.2,0.2,0.4,0.3,,"$726,128"
203484,Kentavious Caldwell-Pope,Wizards,Guard,6-5,204,USA,1993-02-18T00:00:00,8,683,29.2,11.6,3.1,1.7,1.1,0.2,,"$13,038,862"
1630267,Facundo Campazzo,Nuggets,Guard,5-10,195,Argentina,1991-03-23T00:00:00,Undrafted,130,20.1,5.6,1.9,3.5,1.1,0.3,APR 24 2022,"$3,200,000"
1628427,Vlatko Cancar,Nuggets,Forward,6-8,236,Slovenia,1997-04-10T00:00:00,49,70,7.2,2.3,1.3,0.5,0.2,0.1,APR 24 2022,"$1,782,621"
1629962,Devin Cannady,Magic,Guard,6-2,183,USA,1996-05-21T00:00:00,,13,16.8,6.5,0.8,0.8,0.8,0.3,,"$185,578"
203991,Clint Capela,Hawks,Center,6-10,256,Switzerland,1994-05-18T00:00:00,25,471,26.8,12.4,10.7,1.0,0.7,1.5,APR 24 2022,"$18,603,448"
1628975,Jevon Carter,Bucks,Guard,6-1,200,USA,1995-09-14T00:00:00,32,223,14.1,4.4,1.7,1.4,0.6,0.2,APR 24 2022,"$4,107,149"
1627936,Alex Caruso,Bulls,Guard,6-5,186,USA,1994-02-28T00:00:00,Undrafted,225,20.6,6.2,2.5,2.7,1.1,0.3,APR 24 2022,"$8,600,000"
1630551,Justin Champagnie,Raptors,Guard-Forward,6-6,206,USA,2001-06-29T00:00:00,Undrafted,36,7.8,2.3,2.0,0.3,0.2,0.1,APR 23 2022,"$462,629"
1629185,Chris Chiozza,Warriors,Guard,5-11,175,USA,1995-11-21T00:00:00,Undrafted,91,11.4,3.3,1.3,2.4,0.5,0.1,APR 24 2022,"$462,629"
1627737,Marquese Chriss,Mavericks,Forward,6-9,240,USA,1997-07-02T00:00:00,8,292,18.3,7.6,4.7,1.0,0.6,0.8,APR 23 2022,"$1,292,900"
1630528,Josh Christopher,Rockets,Guard,6-3,215,USA,2001-12-08T00:00:00,24,74,18.0,7.9,2.5,2.0,0.9,0.2,,"$2,259,240"
1629109,Gary Clark,Pelicans,Forward,6-6,225,USA,1994-11-16T00:00:00,Undrafted,170,13.2,3.1,2.5,0.5,0.3,0.4,APR 24 2022,"$811,213"
1629634,Brandon Clarke,Grizzlies,Forward,6-8,215,Canada,1996-09-19T00:00:00,21,181,21.9,10.9,5.6,1.4,0.7,0.9,APR 23 2022,"$2,726,880"
203903,Jordan Clarkson,Jazz,Guard,6-4,194,USA,1992-06-07T00:00:00,46,600,27.0,15.4,3.3,2.5,0.9,0.1,APR 23 2022,"$12,420,000"
1629599,Amir Coffey,Clippers,Guard-Forward,6-7,210,USA,1997-06-17T00:00:00,Undrafted,131,16.2,6.2,2.0,1.2,0.4,0.1,,"$573,576"
1628381,John Collins,Hawks,Forward-Center,6-9,226,USA,1997-09-23T00:00:00,19,293,29.0,16.5,8.3,1.6,0.6,1.0,APR 24 2022,"$23,000,000"
1628380,Zach Collins,Spurs,Forward-Center,6-11,250,USA,1997-11-19T00:00:00,10,182,17.5,6.0,4.2,1.1,0.3,0.7,,"$7,000,000"
201144,Mike Conley,Jazz,Guard,6-1,175,USA,1987-10-11T00:00:00,4,958,32.0,14.8,3.0,5.6,1.4,0.2,APR 23 2022,"$21,000,000"
1626192,Pat Connaughton,Bucks,Guard,6-5,209,USA,1993-01-06T00:00:00,41,417,18.5,5.9,3.3,1.2,0.5,0.3,APR 24 2022,"$5,333,334"
1629076,Tyler Cook,Bulls,Forward,6-8,255,USA,1997-09-23T00:00:00,Undrafted,65,10.6,3.8,2.5,0.3,0.2,0.1,APR 24 2022,"$462,629"
1630536,Sharife Cooper,Hawks,Guard,6-1,176,USA,2001-06-11T00:00:00,48,13,3.0,0.5,0.4,0.4,0.0,0.0,APR 24 2022,"$462,629"
202326,DeMarcus Cousins,Nuggets,Center,6-10,270,USA,1990-08-13T00:00:00,5,654,29.8,19.6,10.2,3.0,1.3,1.1,APR 24 2022,"$2,038,942"
203496,Robert Covington,Clippers,Forward,6-7,209,USA,1990-12-14T00:00:00,Undrafted,537,29.9,11.6,5.8,1.5,1.6,1.0,,"$12,975,471"
1628470,Torrey Craig,Suns,Forward,6-7,221,USA,1990-12-19T00:00:00,Undrafted,300,18.7,5.7,3.6,0.9,0.5,0.5,APR 24 2022,"$4,878,049"
203109,Jae Crowder,Suns,Forward,6-6,235,USA,1990-07-06T00:00:00,34,735,25.3,9.6,4.3,1.6,1.0,0.3,APR 24 2022,"$9,720,900"
1629633,Jarrett Culver,Grizzlies,Guard-Forward,6-6,195,USA,1999-02-20T00:00:00,6,134,17.5,6.6,2.7,1.2,0.7,0.4,APR 23 2022,"$6,395,160"
1630595,Cade Cunningham,Pistons,Guard,6-6,220,USA,2001-09-25T00:00:00,1,64,32.6,17.4,5.5,5.6,1.2,0.7,,"$10,050,120"
203552,Seth Curry,Nets,Guard,6-2,185,USA,1990-08-23T00:00:00,Undrafted,377,25.2,11.3,2.2,2.2,0.7,0.1,APR 23 2022,"$8,207,518"
201939,Stephen Curry,Warriors,Guard,6-2,185,USA,1988-03-14T00:00:00,7,826,34.3,24.3,4.6,6.5,1.7,0.2,APR 24 2022,"$45,780,966"
203076,Anthony Davis,Lakers,Forward-Center,6-10,253,USA,1993-03-11T00:00:00,1,604,34.4,23.8,10.2,2.3,1.4,2.3,,"$35,361,360"
202334,Ed Davis,Cavaliers,Center-Forward,6-9,218,USA,1989-06-05T00:00:00,13,722,19.1,5.9,6.4,0.7,0.5,0.8,,"$2,641,691"
1629056,Terence Davis,Kings,Guard,6-4,201,USA,1997-05-16T00:00:00,Undrafted,163,17.3,8.5,3.0,1.5,0.7,0.2,,"$4,000,000"
201942,DeMar DeRozan,Bulls,Guard-Forward,6-6,220,USA,1989-08-07T00:00:00,9,957,34.3,20.8,4.4,3.9,1.0,0.3,APR 24 2022,"$26,000,000"
203473,Dewayne Dedmon,Heat,Center,7-0,245,USA,1989-08-12T00:00:00,Undrafted,477,17.8,6.4,5.9,0.7,0.5,0.8,APR 24 2022,"$5,256,308"
1628978,Donte DiVincenzo,Kings,Guard,6-4,203,USA,1997-01-31T00:00:00,17,201,23.6,9.0,4.6,2.5,1.1,0.2,,"$4,675,830"
1628977,Hamidou Diallo,Pistons,Guard,6-5,202,USA,1998-07-31T00:00:00,45,207,18.9,8.4,3.9,1.1,0.8,0.3,,"$5,200,000"
203476,Gorgui Dieng,Hawks,Center,6-10,248,Senegal,1990-01-18T00:00:00,21,597,20.6,7.5,5.7,1.3,0.8,0.9,APR 24 2022,"$4,000,000"
203915,Spencer Dinwiddie,Mavericks,Guard,6-6,215,USA,1993-04-06T00:00:00,38,387,26.4,13.0,3.0,5.0,0.7,0.3,APR 23 2022,"$17,142,857"
1629029,Luka Doncic,Mavericks,Forward-Guard,6-7,230,Slovenia,1999-02-28T00:00:00,3,264,33.8,26.4,8.5,8.0,1.1,0.4,APR 23 2022,"$10,174,391"
1629652,Luguentz Dort,Thunder,Guard,6-3,215,Canada,1999-04-19T00:00:00,Undrafted,139,29.0,13.3,3.5,1.5,0.9,0.3,,"$1,782,621"
1630245,Ayo Dosunmu,Bulls,Guard,6-4,200,USA,2000-01-17T00:00:00,38,77,27.4,8.8,2.8,3.3,0.8,0.4,APR 24 2022,"$925,258"
201609,Goran Dragic,Nets,Guard,6-3,190,Slovenia,1986-05-06T00:00:00,45,888,27.9,13.7,3.1,4.8,1.0,0.2,APR 23 2022,"$19,348,907"
203083,Andre Drummond,Nets,Center,6-10,279,USA,1993-08-10T00:00:00,9,718,29.6,13.8,13.3,1.4,1.4,1.5,APR 23 2022,"$2,401,537"
1630537,Chris Duarte,Pacers,Guard,6-5,190,Dominican Republic,1997-06-13T00:00:00,13,55,28.0,13.1,4.1,2.1,1.0,0.2,,"$3,749,400"
201142,Kevin Durant,Nets,Forward,6-10,240,USA,1988-09-29T00:00:00,2,939,36.7,27.2,7.1,4.3,1.1,1.1,APR 23 2022,"$42,018,900"
1630162,Anthony Edwards,Timberwolves,Guard,6-4,225,USA,2001-08-05T00:00:00,1,144,33.2,20.3,4.7,3.4,1.3,0.6,APR 23 2022,"$10,245,480"
1629035,Carsen Edwards,Celtics,Guard,5-11,200,USA,1998-03-12T00:00:00,33,72,9.8,3.7,1.1,0.7,0.3,0.1,,"$1,859,365"
1630556,Kessler Edwards,Nets,Forward,6-7,203,USA,2000-08-09T00:00:00,44,48,20.6,5.9,3.6,0.6,0.6,0.5,APR 23 2022,"$463,211"
1629604,CJ Elleby,Trail Blazers,Forward-Guard,6-6,200,USA,2000-06-16T00:00:00,46,88,15.5,4.6,2.9,1.1,0.5,0.3,,"$1,517,981"
201961,Wayne Ellington,Lakers,Guard,6-4,207,USA,1987-11-29T00:00:00,28,770,20.9,8.0,2.1,1.1,0.5,0.1,,"$2,641,691"
203954,Joel Embiid,76ers,Center-Forward,7-0,280,Cameroon,1994-03-16T00:00:00,3,328,31.2,26.0,11.4,3.3,0.9,1.7,APR 23 2022,"$31,579,390"
202324,Derrick Favors,Thunder,Forward,6-9,265,USA,1991-07-15T00:00:00,3,790,24.3,10.6,7.1,1.1,0.7,1.2,,"$9,720,900"
1628981,Bruno Fernando,Rockets,Forward-Center,6-9,240,Angola,1998-08-15T00:00:00,34,119,9.2,3.2,2.8,0.6,0.2,0.3,,"$1,782,621"
1627827,Dorian Finney-Smith,Mavericks,Forward,6-7,220,USA,1993-05-04T00:00:00,Undrafted,394,27.3,8.2,4.5,1.4,0.8,0.4,APR 23 2022,"$4,000,000"
1630238,Malik Fitts,Celtics,Forward,6-5,230,USA,1997-07-04T00:00:00,Undrafted,18,4.1,1.3,1.1,0.3,0.0,0.0,APR 23 2022,"$630,874"
1630201,Malachi Flynn,Raptors,Guard,6-1,175,USA,1998-05-09T00:00:00,29,91,16.1,6.0,2.0,2.3,0.6,0.1,APR 23 2022,"$2,048,040"
1627854,Bryn Forbes,Nuggets,Guard,6-2,205,USA,1993-07-23T00:00:00,Undrafted,406,20.5,9.1,1.7,1.2,0.4,0.0,APR 24 2022,"$4,500,000"
1630235,Trent Forrest,Jazz,Guard,6-4,210,USA,1998-06-12T00:00:00,Undrafted,90,11.9,3.1,1.6,1.7,0.4,0.1,APR 23 2022,"$463,211"
203095,Evan Fournier,Knicks,Guard-Forward,6-6,205,France,1992-10-29T00:00:00,20,645,28.6,14.3,2.7,2.6,0.9,0.2,,"$17,142,857"
1628368,De'Aaron Fox,Kings,Guard,6-3,185,USA,1997-12-20T00:00:00,5,322,32.1,19.1,3.5,6.2,1.3,0.4,,"$28,103,500"
1628365,Markelle Fultz,Magic,Guard,6-4,209,USA,1998-05-29T00:00:00,1,131,24.8,10.9,3.2,4.8,1.1,0.2,,"$16,500,000"
1629117,Wenyen Gabriel,Lakers,Forward,6-9,205,South Sudan,1997-03-26T00:00:00,Undrafted,77,10.8,3.6,2.6,0.4,0.3,0.3,,"$522,015"
1629655,Daniel Gafford,Wizards,Forward-Center,6-9,234,USA,1998-10-01T00:00:00,38,169,16.8,7.6,4.4,0.7,0.4,1.4,,"$1,782,621"
201568,Danilo Gallinari,Hawks,Forward,6-10,236,Italy,1988-08-08T00:00:00,6,728,29.9,15.6,4.8,1.9,0.7,0.4,APR 24 2022,"$20,475,000"
1629636,Darius Garland,Cavaliers,Guard,6-1,192,USA,2000-01-26T00:00:00,5,181,33.4,17.4,2.6,6.3,1.1,0.1,,"$7,040,880"
1630586,Usman Garuba,Rockets,Forward,6-8,229,Spain,2002-03-09T00:00:00,23,24,10.0,2.0,3.5,0.7,0.4,0.5,,"$2,353,320"
1630568,Luka Garza,Pistons,Center,6-10,243,USA,1998-12-27T00:00:00,52,32,12.2,5.8,3.1,0.6,0.3,0.2,,"$925,258"
200752,Rudy Gay,Jazz,Forward-Guard,6-8,250,USA,1986-08-17T00:00:00,8,1064,31.7,16.3,5.8,2.1,1.1,0.7,APR 23 2022,"$5,890,000"
202331,Paul George,Clippers,Forward,6-8,220,USA,1990-05-02T00:00:00,10,737,33.6,20.4,6.4,3.6,1.7,0.4,,"$39,344,970"
201959,Taj Gibson,Knicks,Forward,6-9,232,USA,1985-06-24T00:00:00,26,896,24.5,9.0,6.1,1.0,0.6,1.0,,"$4,910,000"
1630581,Josh Giddey,Thunder,Guard,6-8,205,Australia,2002-10-10T00:00:00,6,54,31.5,12.5,7.8,6.4,0.9,0.4,,"$5,988,000"
1628983,Shai Gilgeous-Alexander,Thunder,Guard,6-6,180,Canada,1998-07-12T00:00:00,11,243,31.8,18.2,4.5,4.3,1.1,0.7,,"$5,495,532"
1630264,Anthony Gill,Wizards,Forward,6-7,230,USA,1992-10-17T00:00:00,Undrafted,70,9.7,3.7,1.9,0.5,0.2,0.2,,"$1,517,981"
203497,Rudy Gobert,Jazz,Center,7-1,258,France,1992-06-26T00:00:00,27,611,30.0,12.4,11.7,1.3,0.7,2.2,APR 23 2022,"$34,844,000"
1629164,Brandon Goodwin,Cavaliers,Guard,6-0,180,USA,1995-10-02T00:00:00,Undrafted,133,12.1,4.7,1.6,1.9,0.4,0.0,,"$343,988"
203932,Aaron Gordon,Nuggets,Forward,6-8,235,USA,1995-09-16T00:00:00,4,528,28.9,13.0,6.3,2.5,0.7,0.6,APR 24 2022,"$16,409,091"
